Nome;Imagem;Caminho Padrão;Categoria;nome;tipo;@Imagem
Parafuso para Andaimes (Dobrado Cabeça Elíptica);;C:\Users\Marco\Desktop\projetos\razemfix-wireframe\razemfix-wireframe\public\produtos;Parafusos;parafuso_para_andaimes_-dobrado_cabeca_eliptica-;png;C:\Users\Marco\Desktop\projetos\razemfix-wireframe\razemfix-wireframe\public\produtos\parafuso_para_andaimes_-dobrado_cabeca_eliptica-.png
Haste para Louça Sanitária;;C:\Users\Marco\Desktop\projetos\razemfix-wireframe\razemfix-wireframe\public\produtos;Parafusos;haste_para_louca_sanitaria;png;C:\Users\Marco\Desktop\projetos\razemfix-wireframe\razemfix-wireframe\public\produtos\haste_para_louca_sanitaria.png
Parafuso e Eixo Bicicleta;;C:\Users\Marco\Desktop\projetos\razemfix-wireframe\razemfix-wireframe\public\produtos;Parafusos;parafuso_e_eixo_bicicleta;png;C:\Users\Marco\Desktop\projetos\razemfix-wireframe\razemfix-wireframe\public\produtos\parafuso_e_eixo_bicicleta.png
Parafuso Flangeado para Tambor;;C:\Users\Marco\Desktop\projetos\razemfix-wireframe\razemfix-wireframe\public\produtos;Parafusos;parafuso_flangeado_para_tambor;png;C:\Users\Marco\Desktop\projetos\razemfix-wireframe\razemfix-wireframe\public\produtos\parafuso_flangeado_para_tambor.png
Parafusos de Linha Agrícola;;C:\Users\Marco\Desktop\projetos\razemfix-wireframe\razemfix-wireframe\public\produtos;Parafusos;parafusos_de_linha_agricola;png;C:\Users\Marco\Desktop\projetos\razemfix-wireframe\razemfix-wireframe\public\produtos\parafusos_de_linha_agricola.png
Parafusos de Linha Automotiva;;C:\Users\Marco\Desktop\projetos\razemfix-wireframe\razemfix-wireframe\public\produtos;Parafusos;parafusos_de_linha_automotiva;png;C:\Users\Marco\Desktop\projetos\razemfix-wireframe\razemfix-wireframe\public\produtos\parafusos_de_linha_automotiva.png
Barra Roscada;;C:\Users\Marco\Desktop\projetos\razemfix-wireframe\razemfix-wireframe\public\produtos;Barras Roscadas;barra_roscada;png;C:\Users\Marco\Desktop\projetos\razemfix-wireframe\razemfix-wireframe\public\produtos\barra_roscada.png
Porca Sextavada;;C:\Users\Marco\Desktop\projetos\razemfix-wireframe\razemfix-wireframe\public\produtos;Porcas;porca_sextavada;png;C:\Users\Marco\Desktop\projetos\razemfix-wireframe\razemfix-wireframe\public\produtos\porca_sextavada.png
Porca Sextavada Baixa;;C:\Users\Marco\Desktop\projetos\razemfix-wireframe\razemfix-wireframe\public\produtos;Porcas;porca_sextavada_baixa;png;C:\Users\Marco\Desktop\projetos\razemfix-wireframe\razemfix-wireframe\public\produtos\porca_sextavada_baixa.png
Porca Sextavada Flangeada;;C:\Users\Marco\Desktop\projetos\razemfix-wireframe\razemfix-wireframe\public\produtos;Porcas;porca_sextavada_flangeada;png;C:\Users\Marco\Desktop\projetos\razemfix-wireframe\razemfix-wireframe\public\produtos\porca_sextavada_flangeada.png
Porca Sextavada (Flangeada Serrilhada);;C:\Users\Marco\Desktop\projetos\razemfix-wireframe\razemfix-wireframe\public\produtos;Porcas;porca_sextavada_-flangeada_serrilhada-;png;C:\Users\Marco\Desktop\projetos\razemfix-wireframe\razemfix-wireframe\public\produtos\porca_sextavada_-flangeada_serrilhada-.png
Porca Sextavada Torque;;C:\Users\Marco\Desktop\projetos\razemfix-wireframe\razemfix-wireframe\public\produtos;Porcas;porca_sextavada_torque;png;C:\Users\Marco\Desktop\projetos\razemfix-wireframe\razemfix-wireframe\public\produtos\porca_sextavada_torque.png
Porca Sextavada ASTM A194 2H;;C:\Users\Marco\Desktop\projetos\razemfix-wireframe\razemfix-wireframe\public\produtos;Porcas;porca_sextavada_astm_a194_2h;png;C:\Users\Marco\Desktop\projetos\razemfix-wireframe\razemfix-wireframe\public\produtos\porca_sextavada_astm_a194_2h.png
Porca Sextavada ASTM A563;;C:\Users\Marco\Desktop\projetos\razemfix-wireframe\razemfix-wireframe\public\produtos;Porcas;porca_sextavada_astm_a563;png;C:\Users\Marco\Desktop\projetos\razemfix-wireframe\razemfix-wireframe\public\produtos\porca_sextavada_astm_a563.png
Porca Flangeada com Nylon;;C:\Users\Marco\Desktop\projetos\razemfix-wireframe\razemfix-wireframe\public\produtos;Porcas;porca_flangeada_com_nylon;png;C:\Users\Marco\Desktop\projetos\razemfix-wireframe\razemfix-wireframe\public\produtos\porca_flangeada_com_nylon.png
Porca Travante Alta com Nylon;;C:\Users\Marco\Desktop\projetos\razemfix-wireframe\razemfix-wireframe\public\produtos;Porcas;porca_travante_alta_com_nylon;png;C:\Users\Marco\Desktop\projetos\razemfix-wireframe\razemfix-wireframe\public\produtos\porca_travante_alta_com_nylon.png
Porca Travante Baixa com Nylon;;C:\Users\Marco\Desktop\projetos\razemfix-wireframe\razemfix-wireframe\public\produtos;Porcas;porca_travante_baixa_com_nylon;png;C:\Users\Marco\Desktop\projetos\razemfix-wireframe\razemfix-wireframe\public\produtos\porca_travante_baixa_com_nylon.png
Porca Quadrada;;C:\Users\Marco\Desktop\projetos\razemfix-wireframe\razemfix-wireframe\public\produtos;Porcas;porca_quadrada;png;C:\Users\Marco\Desktop\projetos\razemfix-wireframe\razemfix-wireframe\public\produtos\porca_quadrada.png
Porca Borboleta;;C:\Users\Marco\Desktop\projetos\razemfix-wireframe\razemfix-wireframe\public\produtos;Porcas;porca_borboleta;png;C:\Users\Marco\Desktop\projetos\razemfix-wireframe\razemfix-wireframe\public\produtos\porca_borboleta.png
Porca Dupla;;C:\Users\Marco\Desktop\projetos\razemfix-wireframe\razemfix-wireframe\public\produtos;Porcas;porca_dupla;png;C:\Users\Marco\Desktop\projetos\razemfix-wireframe\razemfix-wireframe\public\produtos\porca_dupla.png
Porca Castelo sem Coroa;;C:\Users\Marco\Desktop\projetos\razemfix-wireframe\razemfix-wireframe\public\produtos;Porcas;porca_castelo_sem_coroa;png;C:\Users\Marco\Desktop\projetos\razemfix-wireframe\razemfix-wireframe\public\produtos\porca_castelo_sem_coroa.png
Porca Castelo com Coroa Alta;;C:\Users\Marco\Desktop\projetos\razemfix-wireframe\razemfix-wireframe\public\produtos;Porcas;porca_castelo_com_coroa_alta;png;C:\Users\Marco\Desktop\projetos\razemfix-wireframe\razemfix-wireframe\public\produtos\porca_castelo_com_coroa_alta.png
